10:42:3  UPDATE SHORT : UPDATE dataFR SET short='halo' WHERE key='641970392'
11:13:31  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-196003580','British Columbia',''+NULL+'',NULL,'None')
11:13:51  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-949579569','Hawaii','hawai',7.333,'zzzzz')
11:14:11  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1313096793','Schwyz',''+NULL+'',NULL,'None')
11:14:33  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1339416239','Prince Edward Island',''+NULL+'',NULL,'None')
11:14:52  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1843588889','Sardinia',''+NULL+'',NULL,'None')
11:15:12  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('637245764','Grisons',''+NULL+'',NULL,'None')
11:15:31  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-997492806','Nunavut',''+NULL+'',NULL,'None')
11:15:52  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1193194582','Nebraska',''+NULL+'',NULL,'None')
11:16:29  UPDATE TIME : UPDATE dataFR SET time=4.741, owner='zzzzz' WHERE key='-1164064391'
11:16:37  UDPATE TIME AND SHORT : UPDATE dataFR SET short='kira', time=1.86 , owner='zzzzz' WHERE key='-1923708677'
11:16:46  UDPATE TIME AND SHORT : UPDATE dataFR SET short='pingouin', time=3.796 , owner='zzzzz' WHERE key='-969519125'
11:16:51  UPDATE TIME : UPDATE dataFR SET time=1.465, owner='zzzzz' WHERE key='144131377'
11:17:0  UDPATE TIME AND SHORT : UPDATE dataFR SET short='memeausure', time=3.812 , owner='zzzzz' WHERE key='1290457862'
11:17:8  UDPATE TIME AND SHORT : UPDATE dataFR SET short='lamy', time=2.119 , owner='zzzzz' WHERE key='815404467'
11:17:49  UDPATE TIME AND SHORT : UPDATE dataFR SET short='jackson', time=2.71 , owner='zzzzz' WHERE key='-979723478'
11:17:56  UPDATE TIME : UPDATE dataFR SET time=2.054, owner='zzzzz' WHERE key='-593524576'
11:18:3  UDPATE TIME AND SHORT : UPDATE dataFR SET short='zoro', time=1.584 , owner='zzzzz' WHERE key='2136567683'
11:18:11  UDPATE TIME AND SHORT : UPDATE dataFR SET short='jonzz', time=2.336 , owner='zzzzz' WHERE key='372481651'
11:18:18  UDPATE TIME AND SHORT : UPDATE dataFR SET short='trueblood', time=2.167 , owner='zzzzz' WHERE key='-1952901388'
11:18:25  UDPATE TIME AND SHORT : UPDATE dataFR SET short='aceattorney', time=2.216 , owner='zzzzz' WHERE key='-543776126'
11:18:31  UPDATE TIME : UPDATE dataFR SET time=1.515, owner='zzzzz' WHERE key='-1380016108'
11:18:44  UDPATE TIME AND SHORT : UPDATE dataFR SET short='hurricanecarter', time=6.744 , owner='zzzzz' WHERE key='1835152507'
11:18:51  UPDATE TIME : UPDATE dataFR SET time=2.105, owner='zzzzz' WHERE key='722677625'
11:19:0  UDPATE TIME AND SHORT : UPDATE dataFR SET short='halflife', time=4.806 , owner='zzzzz' WHERE key='496427124'
11:19:8  UDPATE TIME AND SHORT : UPDATE dataFR SET short='swiper', time=2.345 , owner='zzzzz' WHERE key='-1606153786'
11:19:15  UDPATE TIME AND SHORT : UPDATE dataFR SET short='worldwarz', time=2.119 , owner='zzzzz' WHERE key='693335481'
11:19:26  UPDATE TIME : UPDATE dataFR SET time=6.661, owner='zzzzz' WHERE key='1559029883'
11:19:52  UDPATE TIME AND SHORT : UPDATE dataFR SET short='bouledogue', time=3.367 , owner='zzzzz' WHERE key='150070291'
11:20:26  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-885902290','Batman: Arkham Origins',''+NULL+'',NULL,'None')
11:22:8  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-559867551','Mr. Buu',''+NULL+'',NULL,'None')
11:22:53  UPDATE TIME : UPDATE dataFR SET time=1.801, owner='dadazdaz' WHERE key='-846931381'
11:26:51  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1634676294','Le Labyrinthe : Le Remède mortel',''+NULL+'',NULL,'None')
11:28:50  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1650852811','La Guerre des boutons',''+NULL+'',NULL,'None')
11:37:3  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1898737166','Lady Di',''+NULL+'',NULL,'None')
11:46:53  UDPATE TIME AND SHORT : UPDATE dataFR SET short='tempest', time=7.727 , owner='zzzzz' WHERE key='1099593208'
11:47:11  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('710748032','Les 101 Dalmatiens',''+NULL+'',NULL,'None')
11:47:43  UPDATE TIME : UPDATE dataFR SET time=4.644, owner='dadazdaz' WHERE key='-14201117'
11:48:35  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1681398006','Vol au-dessus d'un nid de coucou',''+NULL+'',NULL,'None')
11:50:50  UPDATE TIME : UPDATE dataFR SET time=11.429, owner='dadazdaz' WHERE key='-1406041772'
11:53:50  UDPATE TIME AND SHORT : UPDATE dataFR SET short='sao', time=5.021 , owner='zzzzz' WHERE key='1020693188'
11:56:40  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1860111408','Thor: Love and Thunder',''+NULL+'',NULL,'None')
11:59:13  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1728482842','Levi',''+NULL+'',NULL,'None')
11:59:47  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1561924902','Maître Yoda',''+NULL+'',NULL,'None')
12:3:3  UPDATE TIME : UPDATE dataFR SET time=1.744, owner='zzzzz' WHERE key='250636023'
12:3:10  UDPATE TIME AND SHORT : UPDATE dataFR SET short='perry', time=1.558 , owner='zzzzz' WHERE key='-709748640'
12:3:17  UDPATE TIME AND SHORT : UPDATE dataFR SET short='twd', time=2.802 , owner='zzzzz' WHERE key='1587965495'
12:3:26  UPDATE TIME : UPDATE dataFR SET time=3.645, owner='zzzzz' WHERE key='1591523256'
12:3:33  UDPATE TIME AND SHORT : UPDATE dataFR SET short='brody', time=1.454 , owner='zzzzz' WHERE key='-1110312864'
12:4:30  UPDATE TIME : UPDATE dataFR SET time=1.418, owner='zzzzz' WHERE key='191054340'
12:4:43  UDPATE TIME AND SHORT : UPDATE dataFR SET short='mangezmoimangezmoimangezmoi', time=8.282 , owner='zzzzz' WHERE key='987646867'
12:4:52  UDPATE TIME AND SHORT : UPDATE dataFR SET short='tenvapas', time=3.313 , owner='zzzzz' WHERE key='1660749000'
12:6:41  UDPATE TIME AND SHORT : UPDATE dataFR SET short='voldemort', time=2.623 , owner='zzzzz' WHERE key='1829737896'
