1:40:5  UPDATE dataFR SET time=1.664, owner='zzzzz' WHERE key='-551896898'
1:40:54  UPDATE dataFR SET time=1.912, owner='zzzzz' WHERE key='79832251'
1:41:8  UPDATE dataFR SET time=1.422, owner='zzzzz' WHERE key='1056543094'
1:42:1  UPDATE dataFR SET time=2.114, owner='zzzzz' WHERE key='1492734262'
1:42:9  UPDATE dataFR SET time=2.279, owner='zzzzz' WHERE key='1115363634'
1:42:16  UPDATE dataFR SET time=2.413, owner='zzzzz' WHERE key='1771313249'
1:42:34  UPDATE dataFR SET time=4.107, owner='zzzzz' WHERE key='768761785'
1:42:41  UPDATE dataFR SET time=1.687, owner='zzzzz' WHERE key='592702498'
1:43:30  UPDATE dataFR SET time=1.873, owner='zzzzz' WHERE key='942650854'
1:43:37  UPDATE dataFR SET time=1.666, owner='zzzzz' WHERE key='251859995'
1:43:43  UPDATE dataFR SET time=1.532, owner='zzzzz' WHERE key='274214132'
1:43:50  UPDATE dataFR SET time=1.404, owner='zzzzz' WHERE key='-1122735648'
1:43:57  UPDATE dataFR SET time=1.692, owner='zzzzz' WHERE key='-1407212733'
1:44:19  UPDATE dataFR SET time=2.085, owner='zzzzz' WHERE key='1160604507'
1:44:40  UPDATE dataFR SET time=2.14, owner='zzzzz' WHERE key='129537057'
1:44:47  UPDATE dataFR SET time=2.378, owner='zzzzz' WHERE key='770699729'
1:45:1  UPDATE dataFR SET time=1.761, owner='zzzzz' WHERE key='553250132'
1:45:24  UPDATE dataFR SET time=2.152, owner='zzzzz' WHERE key='-1711079546'
1:45:31  UPDATE dataFR SET time=1.668, owner='zzzzz' WHERE key='-2102826496'
1:46:5  UPDATE dataFR SET time=1.32, owner='zzzzz' WHERE key='-758155998'
1:46:34  UPDATE dataFR SET time=1.248, owner='zzzzz' WHERE key='1849446629'
1:49:14  UPDATE dataFR SET time=2.084, owner='zzzzz' WHERE key='-391905301'
1:49:40  UPDATE dataFR SET time=2.016, owner='zzzzz' WHERE key='1957439912'
