9:52:57  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1681652967','Region of Murcia',''+NULL+'',NULL,'None')
9:53:17  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1676657094','Extremadura',''+NULL+'',NULL,'None')
9:53:27  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1830174350','Maine','maine',2.848,'emmaa GW')
9:53:43  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('359968041','Lazio','lazio',4.291,'emmaa GW')
9:54:3  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('218573954','Republic of Kalmykia',''+NULL+'',NULL,'None')
9:54:11  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1604596765','Geneva','geneva',2.672,'zzzzz')
9:54:31  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1401650875','Zurich',''+NULL+'',NULL,'None')
9:54:51  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1612683495','East Flanders',''+NULL+'',NULL,'None')
9:55:11  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('842864933','Hainaut',''+NULL+'',NULL,'None')
9:55:31  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1640795475','Arizona','arizona',1.722,'emmaa GW')
9:55:51  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1069761295','Newfoundland and Labrador',''+NULL+'',NULL,'None')
9:56:11  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('64600782','Christmas Island',''+NULL+'',3.497,'emmaa GW')
9:56:31  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1978457308','Liège','liege',2.533,'emmaa GW')
9:56:51  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1020828530','Campania',''+NULL+'',NULL,'None')
9:57:11  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1651775377','Montana',''+NULL+'',NULL,'None')
9:57:31  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1898760171','Brussels-Capital Region',''+NULL+'',NULL,'None')
9:57:51  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('615276036','Uri','uri',6.659,'emmaa GW')
9:58:11  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-182599561','Sint Eustatius',''+NULL+'',NULL,'None')
9:58:31  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1355542577','United States Virgin Islands',''+NULL+'',6.185,'emmaa GW')
9:58:51  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1116032883','Saint-Gall',''+NULL+'',NULL,'None')
9:59:11  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('338885354','Bonaire',''+NULL+'',NULL,'None')
9:59:32  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1296437526','Louisiana',''+NULL+'',4.934,'emmaa GW')
9:59:51  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-300459703','Kentucky',''+NULL+'',NULL,'None')
10:0:11  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1368300109','Aruba','aruba',1.728,'emmaa GW')
10:0:31  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1919663794','Manitoba',''+NULL+'',4.334,'emmaa GW')
10:0:51  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('660238079','Karachay-Cherkess Republic',''+NULL+'',NULL,'None')
10:1:11  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('124309788','Republic of Buryatia',''+NULL+'',NULL,'None')
10:1:31  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1183150265','Brittany',''+NULL+'',3.988,'zzzzz')
10:1:51  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1415394489','North Brabant',''+NULL+'',NULL,'None')
10:2:11  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1488406154','Colorado',''+NULL+'',8.269,'emmaa GW')
10:2:31  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-294316314','Lombardy',''+NULL+'',2.815,'emmaa GW')
10:2:39  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-945420975','Republic of Sakha','sakha',2.113,'emmaa GW')
10:3:2  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1339416239','Prince Edward Island',''+NULL+'',NULL,'None')
10:3:19  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1327552116','Alberta',''+NULL+'',NULL,'None')
10:3:39  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1734204757','Republic of Dagestan',''+NULL+'',NULL,'None')
10:3:59  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-349709911','Ile-de-France',''+NULL+'',2.997,'zzzzz')
10:4:19  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-243216169','Flevoland',''+NULL+'',NULL,'None')
10:4:39  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1449429108','Canary Islands',''+NULL+'',3.874,'emmaa GW')
10:4:59  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-196003580','British Columbia',''+NULL+'',5.815,'emmaa GW')
10:5:8  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('646070498','Iowa','iowa',1.806,'zzzzz')
10:5:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-704949153','Rhineland-Palatinate',''+NULL+'',NULL,'None')
10:5:48  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1863921682','Castile and León',''+NULL+'',5.306,'emmaa GW')
10:6:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1282064804','West Flanders',''+NULL+'',NULL,'None')
10:6:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-704550351','Aragon',''+NULL+'',NULL,'None')
10:6:48  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1385762199','Walloon Region',''+NULL+'',5.025,'emmaa GW')
10:7:8  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1727399983','Marche',''+NULL+'',NULL,'None')
10:7:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-907951110','Mississippi',''+NULL+'',NULL,'None')
10:7:47  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1301098771','Solothurn',''+NULL+'',NULL,'None')
10:8:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1618218109','Aosta Valley',''+NULL+'',NULL,'None')
10:8:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('674304802','Thurgau',''+NULL+'',NULL,'None')
10:8:48  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1107855614','Abruzzo',''+NULL+'',NULL,'None')
10:9:8  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-785374509','Flemish Region',''+NULL+'',NULL,'None')
10:9:27  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('806368090','Curaçao','curacao',2.44,'zzzzz')
10:9:48  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1022812536','Melilla','melilla',3.193,'emmaa GW')
10:10:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1332929216','Udmurt Republic',''+NULL+'',NULL,'None')
10:10:27  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-145242545','Piedmont',''+NULL+'',NULL,'None')
10:10:48  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1220303557','Oklahoma',''+NULL+'',NULL,'None')
10:11:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('819244661','Hamburg',''+NULL+'',NULL,'None')
10:11:27  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1682021269','Appenzell Innerrhoden',''+NULL+'',NULL,'None')
10:11:47  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1496462255','Hesse',''+NULL+'',NULL,'None')
10:12:8  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('390677940','Kansas',''+NULL+'',NULL,'None')
10:12:27  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1651483596','Umbria',''+NULL+'',NULL,'None')
10:12:48  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('487427423','Calabria',''+NULL+'',NULL,'None')
10:13:8  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-764749910','Apulia',''+NULL+'',NULL,'None')
10:13:27  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1703654606','Glarus',''+NULL+'',NULL,'None')
10:13:49  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1204236445','Missouri',''+NULL+'',NULL,'None')
10:14:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-905173130','Limburg',''+NULL+'',NULL,'None')
10:14:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1022667789','Valencian Community',''+NULL+'',NULL,'None')
10:14:48  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('143739727','Balearic Islands',''+NULL+'',NULL,'None')
10:15:8  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1377678169','Delaware',''+NULL+'',NULL,'None')
10:15:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('333351436','Wisconsin',''+NULL+'',NULL,'None')
10:15:47  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-845870329','Gelderland',''+NULL+'',NULL,'None')
10:16:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-527132075','Flemish Brabant',''+NULL+'',NULL,'None')
10:16:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-78755502','Tuscany',''+NULL+'',NULL,'None')
10:16:47  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('399374698','North Rhine-Westphalia',''+NULL+'',NULL,'None')
10:17:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1257223696','Aargau',''+NULL+'',NULL,'None')
10:17:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('858992331','Brandenburg',''+NULL+'',NULL,'None')
